animalNumber,examDate,subspecies,sex,age,wild.or.captive,STT_OD,STT_OS,IOP_OD,IOP_OS,Flour_OD,Flour_OS,axial.globe.length_OD,anterior.chamber.depth_OD,posterior.segment.depth_OD,axial.globe.length_OS,anterior.chamber.depth_OS,posterior.segment.depth_OS,crystalline.lens.thickness_OD,crystalline.lens.thickness_OS,R1_OD.mm,R1_OD.D,R2_OD.mm,R2_OD.D,R1.R2.avg_OD.mm,R1.R2.avg_OD.D,R1_OS.mm,R1_OS.D,R2_OS.mm,R2_OS.D,R1.R2.avg_OS.mm,R1.R2.avg_OS.D,exclusion_od,exclusion_os,path_anterior synechiae_os,path_anterior synechiae_od,path_anterior synechiae_ou,path_cataract_od,path_cataract_os,path_cataract_ou,path_corneal scar_od,path_corneal scar_os,path_corneal scar_ou,path_corneal ulcer_od,path_corneal ulcer_os,path_corneal ulcer_ou,path_follicular conjunctivitis_ou,path_follicular conjunctivitis_od,path_follicular conjunctivitis_os,path_foreign body - corneal_od,path_foreign body - corneal_os,path_foreign body - corneal_ou,path_keratitis_od,path_keratitis_os,path_keratitis_ou,path_nuclear sclerosis_ou,path_nuclear sclerosis_od,path_nuclear sclerosis_os,path_pigmentary keratitis_od,path_pigmentary keratitis_ou,path_pigmentary keratitis_os,path_posterior synechiae_od,path_posterior synechiae_ou,path_posterior synechiae_os,path_ppm_od,path_ppm_ou,path_ppm_os
1,2021/10/05,white rhino,female,subadult,captive camp,12,18,29,34,0,0,2.16,0.22,1.37,2.16,0.13,1.43,0.58,0.57,11.8,30.25,9.28,36.37,10.23,33,10.62,31.75,9.61,35.12,10.12,33.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,2021/10/05,white rhino,female,adult,captive camp,20,20,41,37,1,0,2.88,0.32,1.77,2.85,0.29,1.81,0.64,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
3,2021/10/05,white rhino,male,adult,captive camp,25,17,45,46,0,0,2.48,0.13,1.54,2.69,0.28,1.52,0.71,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,2021/10/05,white rhino,female,adult,captive camp,22,30,41,36,0,0,2.5,0.18,1.66,2.65,0.22,1.61,0.66,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,2021/10/05,white rhino,female,adult,captive camp,24,20,23,41,0,0,2.6,0.28,1.51,2.61,0.32,1.51,0.68,0.64,10.98,30.75,10.45,32.25,10.72,31.5,10.73,31.5,10.19,33.12,10.46,32.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,2021/10/05,white rhino,male,calf,captive camp,17,12,25,29,0,0,2.44,0.29,1.53,2.42,0.3,1.51,0.55,0.55,12.06,28,8.05,41.87,10.06,33.5,10.5,32.12,10.22,33,10.36,32.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,2021/10/05,white rhino,male,calf,captive camp,16,20,25,24,0,0,2.09,0.1,1.41,2.17,0.25,1.34,0.54,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,2021/10/05,white rhino,female,adult,captive camp,30,18,35,47,0,0,2.45,0.13,1.55,2.5,0.14,1.6,0.64,0.65,NA,NA,NA,NA,NA,NA,11.75,28.75,11.09,29.5,11.42,29.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,2021/10/05,white rhino,female,adult,captive camp,18,15,37,29,0,0,2.65,0.27,1.62,2.48,0.15,1.6,0.67,0.63,NA,NA,NA,NA,NA,NA,9.49,35.62,5.99,56.37,7.74,43.62,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,2021/10/06,white rhino,male,adult,captive camp,31,22,45,38,0,0,2.5,0.36,1.46,2.23,0.14,1.45,0.62,0.64,10.61,31.75,10.15,33.25,10.38,32.5,10.85,31.12,10.24,33,10.55,32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
